Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/27/2014,30,58,18,36,10,6,32,0,27,8,18,19,63,13,28,40,29,18,12,99,13,19,17,18,46,9,54,23,13,57,22,57,12,15,62,17,25,8,15,0,15,0,10,8,23,60,13,9,48,16,100
1/28/2014,40,73,17,30,16,12,26,0,33,9,14,24,58,19,29,20,19,14,22,82,25,28,10,13,23,13,100,57,27,36,17,35,16,18,81,28,14,13,25,45,23,0,34,16,28,75,19,15,41,30,0
1/29/2014,18,0,17,100,17,30,0,0,18,21,15,27,43,14,23,52,23,42,16,0,43,28,11,26,26,0,0,63,20,40,35,0,18,25,0,25,15,7,24,50,31,0,30,15,21,84,13,14,47,22,0
1/30/2014,37,89,9,72,13,26,24,0,20,22,17,42,46,20,19,21,15,55,17,0,49,16,18,21,82,14,0,33,42,71,25,43,23,22,0,24,16,15,25,54,33,0,25,12,55,0,26,17,100,12,0
1/31/2014,23,54,10,0,6,11,25,53,13,4,5,16,28,11,19,13,10,22,18,31,13,10,5,11,33,7,100,0,12,0,16,26,9,11,59,12,14,9,8,33,31,0,6,8,14,0,10,6,0,20,92
2/1/2014,19,0,17,0,4,15,22,0,0,3,3,17,32,6,20,21,14,12,12,34,14,22,14,10,35,6,55,0,13,0,14,29,5,18,0,14,0,5,9,35,11,0,14,9,16,0,17,7,32,17,100
2/2/2014,16,58,11,22,5,12,10,52,14,6,11,18,31,9,18,13,21,17,22,0,6,13,7,12,34,6,52,21,14,52,17,0,8,23,0,15,14,0,16,33,27,65,17,6,15,0,20,5,30,16,100
2/3/2014,17,0,11,21,7,9,10,100,12,10,10,54,0,17,13,18,21,18,28,31,31,11,10,13,39,15,50,31,21,35,21,27,14,17,0,21,20,10,20,0,18,81,11,9,14,0,18,9,30,11,94
2/4/2014,15,50,7,35,8,8,8,43,24,8,11,17,26,7,6,33,6,12,9,0,21,9,14,9,14,10,0,17,18,43,10,44,13,19,49,9,21,9,9,27,12,100,19,10,0,46,8,6,39,20,0
2/5/2014,27,0,9,30,4,17,18,73,33,11,14,0,0,10,14,13,8,20,10,29,25,13,12,9,15,9,0,27,19,0,13,0,13,14,0,9,10,10,8,31,15,56,12,5,0,0,15,7,52,27,100
