Dates,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/27/2014,19,0,39,0,9,10,11,88,14,11,9,41,33,6,16,16,12,27,13,69,25,16,8,10,19,20,0,0,40,30,22,39,7,21,0,12,11,5,16,75,17,64,20,11,47,62,17,5,100,23,0
1/28/2014,13,0,21,0,9,18,32,55,13,8,9,38,31,6,16,16,0,0,12,33,20,16,12,12,18,16,0,23,13,29,17,42,9,4,0,4,22,5,11,36,0,0,23,11,30,0,8,8,66,26,100
1/29/2014,0,0,24,64,11,24,21,0,0,12,14,26,41,8,38,20,0,32,15,45,32,22,14,8,37,13,0,30,38,0,17,0,7,29,0,8,0,7,10,48,22,0,34,19,100,0,15,7,45,27,0
1/30/2014,0,0,43,0,16,13,16,0,0,7,15,28,0,4,24,0,0,63,17,0,46,15,18,18,27,18,0,0,21,42,16,42,5,43,0,15,31,0,11,0,16,0,36,14,44,0,28,7,100,30,0
1/31/2014,22,0,39,42,17,20,0,0,25,0,6,0,53,11,15,0,0,21,21,60,31,7,18,0,0,16,0,0,0,0,25,100,13,17,0,14,35,0,16,0,0,0,12,6,39,0,19,17,0,28,0
2/1/2014,13,0,8,0,5,18,11,0,33,5,10,17,0,11,8,0,7,12,12,0,7,0,6,13,35,9,56,0,13,0,14,30,6,6,0,8,10,0,8,0,29,0,0,4,31,0,9,10,32,17,100
2/2/2014,23,0,16,0,9,35,0,0,40,14,19,35,60,29,15,26,27,21,21,0,12,15,15,23,32,0,100,0,27,0,15,83,11,30,0,18,0,9,33,0,64,0,0,11,58,0,14,14,58,15,0
2/3/2014,15,0,18,27,9,7,12,65,23,13,12,0,0,13,25,17,18,28,14,0,8,14,7,11,21,15,0,26,35,0,10,100,6,24,0,0,19,6,5,0,13,0,29,9,73,72,16,9,0,14,0
2/4/2014,17,0,20,0,8,16,14,100,12,14,12,0,0,14,26,0,0,11,11,0,15,7,11,14,0,14,0,0,14,0,13,0,5,22,0,5,10,5,10,0,31,0,19,11,50,0,14,9,31,14,91
2/5/2014,22,0,17,20,4,5,14,0,0,7,13,37,0,3,7,12,8,10,15,0,9,32,14,5,0,11,0,0,19,0,5,28,7,19,0,12,0,6,7,30,10,0,15,9,35,0,0,6,31,20,100
2/6/2014,11,0,6,20,2,5,9,0,12,8,12,0,0,11,11,12,8,10,10,0,12,11,0,11,15,16,0,20,17,0,7,27,5,17,0,9,0,6,3,0,0,0,12,7,100,0,12,0,0,16,98
2/7/2014,15,0,25,26,4,6,12,0,34,10,8,27,0,5,18,16,0,19,13,0,15,18,4,9,38,17,0,26,15,0,11,31,4,24,0,7,0,5,8,100,13,0,8,5,38,0,11,5,40,16,0
2/8/2014,21,0,17,25,4,9,11,0,0,10,8,25,0,5,17,0,18,0,12,0,7,5,8,13,18,12,56,24,13,0,6,0,3,11,0,7,0,4,8,54,36,0,18,4,23,0,11,4,0,10,100
2/9/2014,13,0,14,0,5,9,10,0,16,6,8,0,0,9,25,14,9,15,0,0,10,8,12,12,26,18,0,23,21,27,8,29,3,12,0,18,11,6,8,35,15,65,24,5,38,0,10,0,0,17,100
2/10/2014,23,0,19,62,11,12,0,0,20,14,9,0,43,12,0,29,20,32,0,45,30,22,14,30,24,23,74,0,61,0,20,39,9,30,0,22,0,6,13,49,38,88,25,5,55,0,12,12,100,37,0
2/11/2014,12,0,16,24,11,12,14,0,0,9,12,0,0,9,8,14,9,43,29,0,17,15,13,16,18,16,0,0,15,29,9,44,3,17,64,15,11,7,5,0,19,65,27,7,20,0,14,0,0,15,100
2/12/2014,19,0,18,0,11,18,24,0,49,13,28,39,47,17,26,22,13,36,36,0,10,18,21,28,27,29,0,35,22,0,9,44,11,18,95,12,0,14,14,51,27,100,21,13,23,0,20,11,55,22,0
2/13/2014,41,0,18,0,10,14,15,0,0,15,18,0,48,8,26,0,13,55,19,0,29,15,15,10,28,10,84,72,0,41,21,45,8,28,100,13,0,0,14,0,56,0,16,10,35,0,12,19,0,17,0
2/14/2014,21,0,36,56,6,9,32,0,0,10,5,0,48,11,13,0,12,35,19,0,10,21,24,10,28,13,0,0,0,41,14,48,6,20,100,8,0,0,12,0,18,0,27,6,48,0,8,22,0,17,0
2/15/2014,24,100,15,43,7,10,28,0,0,4,8,0,55,9,15,24,26,29,21,0,33,17,13,11,0,16,0,0,31,89,11,53,9,22,0,7,0,7,5,0,20,0,48,6,28,0,6,21,89,17,0
2/16/2014,21,100,10,0,7,10,18,88,0,8,11,0,54,8,13,22,29,18,61,0,22,7,13,21,0,0,0,0,23,0,7,50,12,41,0,9,19,8,10,0,38,0,36,14,67,0,6,8,56,23,0
2/17/2014,16,0,14,0,5,6,17,53,17,10,9,54,0,9,16,19,11,21,24,0,7,17,14,9,18,16,52,0,14,27,11,30,10,18,0,5,11,14,10,35,0,0,34,10,26,0,12,9,68,16,100
2/18/2014,25,0,31,32,12,14,24,76,21,16,22,38,44,10,18,18,23,25,17,0,14,16,19,9,38,17,0,0,19,39,17,41,10,34,0,13,16,13,8,74,65,95,27,14,50,0,17,10,100,30,0
2/19/2014,11,54,20,41,7,9,16,100,14,6,11,0,0,9,8,12,17,20,11,0,15,13,9,9,32,7,0,0,12,0,11,40,4,28,59,11,0,4,8,33,26,0,28,7,28,0,10,6,0,21,0
2/20/2014,24,58,18,0,8,10,18,0,15,10,14,0,31,8,11,37,12,14,12,37,12,12,12,8,17,12,0,0,13,29,23,58,5,21,0,15,11,0,9,0,26,63,11,7,40,0,14,18,0,21,100
2/21/2014,45,0,17,42,9,11,26,100,31,13,17,0,56,10,15,22,0,26,23,0,25,17,14,15,62,26,0,42,23,50,17,52,5,18,0,18,19,0,18,63,31,0,50,8,55,0,10,22,66,32,0
2/22/2014,20,0,8,0,5,12,11,58,41,6,5,28,0,6,9,25,18,43,13,34,11,8,10,7,18,10,0,47,12,0,6,31,3,8,0,5,11,4,5,0,12,70,21,5,32,0,4,5,0,11,100
2/23/2014,0,0,84,0,13,26,30,0,100,27,28,82,90,25,0,0,0,90,52,0,39,34,17,19,50,0,0,96,37,81,23,0,14,58,0,21,61,27,17,0,65,0,22,12,0,0,45,14,0,20,0
2/24/2014,32,0,37,25,8,11,18,61,17,9,9,33,36,8,9,14,14,33,14,0,16,14,14,15,27,21,0,25,0,34,9,100,9,21,71,10,12,8,17,0,26,0,21,12,35,71,12,8,40,26,0
2/25/2014,20,0,19,38,5,7,12,45,26,15,7,50,0,6,12,11,10,47,32,29,10,4,9,11,0,11,0,0,12,26,10,100,7,17,0,11,9,4,9,30,23,0,20,6,22,0,7,7,45,26,0
2/26/2014,20,98,41,37,10,15,18,90,50,11,16,49,0,17,14,0,22,36,20,55,28,34,31,31,30,32,89,39,22,100,17,0,10,33,0,25,56,0,8,60,38,0,32,16,25,0,20,17,60,28,0
2/27/2014,17,0,9,31,9,24,29,0,58,11,20,40,41,9,17,18,19,35,24,45,21,22,11,12,24,14,70,31,0,40,17,40,10,26,0,13,15,7,7,48,31,0,27,11,27,0,13,10,100,26,0
2/28/2014,19,0,21,0,10,15,44,0,21,12,7,0,0,6,12,17,19,30,0,91,30,11,6,8,25,13,0,31,0,0,8,81,5,20,0,9,0,0,4,48,32,0,21,7,72,0,12,13,100,9,0
3/1/2014,42,0,29,0,18,16,0,0,50,20,20,0,88,7,24,36,40,31,36,98,39,27,24,23,56,18,0,0,34,79,23,88,10,43,0,15,0,0,24,100,36,0,89,12,91,0,15,14,0,37,0
3/2/2014,0,0,48,0,14,0,15,0,0,14,16,0,46,8,18,20,0,47,19,0,23,6,10,22,0,23,0,0,57,82,15,45,7,18,0,17,0,15,18,0,18,100,11,9,48,0,6,15,51,9,0
3/3/2014,7,0,13,0,6,3,5,26,0,4,3,0,15,4,0,7,7,16,0,0,5,7,7,4,0,6,0,11,7,14,6,0,3,12,0,3,0,14,9,0,0,63,7,4,23,0,2,5,17,8,100
3/4/2014,0,0,14,0,15,21,16,0,0,16,25,0,89,7,12,31,21,34,32,48,20,15,9,22,28,14,0,0,29,43,12,0,15,29,0,14,0,57,14,52,17,93,30,11,100,0,14,11,50,16,0
3/5/2014,13,0,13,22,8,14,26,51,0,10,13,0,29,13,12,21,0,11,10,0,18,12,10,18,18,12,0,42,25,28,12,0,6,19,0,9,11,0,16,34,11,0,11,4,30,0,15,10,33,26,100
3/6/2014,46,100,35,0,11,27,19,0,0,15,28,0,0,16,0,25,0,28,19,0,36,24,19,16,44,22,96,0,0,0,17,53,9,32,0,24,20,17,24,0,40,0,13,7,27,0,42,12,63,17,0
3/7/2014,20,0,8,22,4,8,10,0,15,5,11,0,59,5,8,13,0,34,10,0,20,12,4,6,36,0,53,0,15,0,8,42,2,20,63,8,0,9,8,35,11,0,7,6,30,0,11,5,0,7,100
3/8/2014,0,0,16,0,4,16,57,0,0,6,10,41,0,17,15,25,50,21,0,0,25,12,17,11,34,11,100,0,30,48,14,0,4,12,0,21,0,17,9,0,0,0,14,8,48,0,10,16,0,26,0
3/9/2014,0,0,19,73,9,21,16,0,26,9,29,38,0,18,27,0,0,48,0,50,18,31,19,16,32,20,86,0,0,0,12,47,9,22,100,14,18,0,16,0,32,0,12,10,25,0,14,8,0,35,0
3/10/2014,13,0,18,0,6,15,10,53,43,7,9,0,29,7,17,28,14,43,21,0,24,12,12,9,20,6,53,22,19,0,16,29,6,19,0,9,17,19,10,0,12,0,11,10,40,0,9,15,37,19,100
3/11/2014,0,0,8,0,6,11,21,54,14,9,9,0,30,5,17,14,13,25,10,32,21,9,12,6,0,13,0,22,13,0,16,59,8,17,0,12,12,10,14,0,12,0,8,7,41,0,22,7,38,22,100
3/12/2014,0,0,24,0,11,9,17,84,39,14,32,45,49,12,14,34,18,20,25,100,11,25,25,29,0,10,90,34,19,0,26,94,8,32,0,9,0,16,15,57,37,0,15,10,62,0,13,16,61,34,0
3/13/2014,23,0,27,0,9,14,0,89,27,18,28,0,52,11,24,75,19,43,18,55,23,29,17,10,38,22,95,0,21,48,17,100,8,26,0,32,39,16,21,0,20,0,22,10,39,0,20,22,65,12,0
3/14/2014,0,100,30,41,6,9,19,96,0,10,29,0,52,11,30,25,19,67,18,0,18,21,18,10,36,34,0,35,20,50,14,51,7,29,0,28,29,17,8,0,0,0,0,9,27,0,28,21,0,0,0
3/15/2014,35,0,29,0,15,27,41,0,0,14,15,70,78,6,43,35,0,31,25,79,35,13,39,0,50,16,0,0,28,0,15,0,16,33,0,13,0,0,27,0,0,0,0,12,100,0,10,16,90,45,0
3/16/2014,15,0,14,26,7,10,25,0,33,7,11,36,0,9,15,0,0,29,0,77,15,13,14,14,23,15,0,24,14,0,11,36,9,15,0,8,0,11,13,40,0,0,25,9,37,100,4,0,41,14,0
3/17/2014,32,0,22,0,8,9,16,76,60,20,13,94,0,9,26,34,0,38,16,0,16,31,10,21,30,27,80,31,26,68,15,46,10,36,100,22,20,14,15,53,16,0,36,11,37,89,15,7,52,22,0
3/18/2014,19,0,26,22,9,5,10,50,19,11,16,0,29,14,12,14,11,28,21,0,19,9,16,10,0,13,51,0,25,0,16,29,10,26,97,12,0,0,16,34,10,60,21,7,43,0,15,5,0,26,100
3/19/2014,19,0,34,34,12,16,16,78,29,17,19,89,92,30,38,40,34,24,40,48,26,22,14,9,61,20,77,32,28,0,18,44,11,23,100,17,19,14,21,77,26,0,16,13,72,0,19,7,0,30,0
3/20/2014,22,0,31,0,11,17,18,0,0,15,25,48,100,20,21,22,27,71,17,0,43,24,13,0,65,22,83,35,21,50,13,49,7,22,0,19,40,16,15,55,27,0,14,10,72,95,13,13,78,25,0
3/21/2014,0,87,33,0,6,8,0,0,0,10,15,44,0,17,13,0,17,19,0,100,26,25,12,9,0,20,0,33,19,0,6,45,4,6,0,9,0,16,12,0,35,0,15,13,47,0,6,15,0,23,0
3/22/2014,52,0,42,0,12,19,0,0,0,13,50,100,0,21,0,0,35,0,38,0,47,41,0,0,0,69,0,0,40,0,14,0,10,28,0,21,0,38,21,0,38,0,34,25,56,0,13,0,0,27,0
3/23/2014,0,0,16,0,4,24,14,0,29,8,15,0,0,7,17,0,10,19,10,0,13,8,8,6,39,6,53,0,12,0,5,31,6,17,0,8,12,11,7,0,31,0,13,9,36,0,7,8,30,12,100
3/24/2014,26,0,19,23,5,13,9,0,0,9,13,40,0,9,7,11,9,31,0,0,16,8,8,5,18,6,91,19,11,26,9,35,5,17,0,9,10,9,10,30,18,0,22,9,39,100,7,7,27,26,0
3/25/2014,28,0,34,0,12,23,30,0,0,23,33,87,0,29,16,24,0,80,0,60,18,43,27,0,0,18,100,43,46,56,23,0,4,47,0,38,0,29,17,0,30,0,24,24,70,0,25,19,0,28,0
3/26/2014,15,0,8,27,6,6,11,51,27,12,15,31,0,11,18,13,11,21,19,0,13,16,10,15,19,16,0,22,13,29,12,0,6,16,0,12,20,10,8,35,33,0,16,10,30,0,13,10,66,10,100
3/27/2014,0,0,48,70,23,24,58,0,71,31,27,0,0,17,24,35,30,35,0,0,36,22,11,31,73,26,0,0,35,0,22,79,18,41,0,50,0,0,33,0,29,0,26,29,100,0,27,13,90,20,0
3/28/2014,0,0,28,48,11,0,20,100,27,7,15,54,0,9,16,0,52,23,17,0,0,15,15,11,32,29,0,0,45,0,7,57,3,25,0,15,0,0,11,0,20,0,29,12,44,0,22,18,59,14,0
3/29/2014,0,100,5,22,3,0,0,0,14,5,5,0,0,10,7,11,9,10,7,0,5,3,9,0,15,11,0,19,10,0,3,26,5,6,0,12,10,0,5,0,18,0,5,1,33,0,6,0,0,6,0
3/30/2014,24,100,15,41,9,0,17,0,38,13,9,0,53,20,46,22,29,23,0,53,0,23,11,10,32,11,0,38,0,47,10,0,7,26,0,21,41,16,15,56,19,0,22,16,93,0,13,9,54,19,0
3/31/2014,24,0,8,21,7,5,9,0,17,16,11,0,29,6,0,19,10,38,18,0,16,11,12,8,0,14,100,0,0,26,13,26,7,20,53,11,0,7,7,31,10,0,21,12,41,0,15,10,65,13,91
4/1/2014,31,0,48,0,15,28,17,0,18,29,13,44,49,12,27,37,18,55,50,0,28,26,7,38,0,35,0,0,20,0,30,67,8,39,98,17,17,11,7,0,16,0,32,17,35,100,22,8,0,21,0
4/2/2014,19,0,27,32,14,13,32,0,16,25,17,42,47,13,31,47,33,100,0,50,26,15,9,18,0,27,81,0,19,0,15,0,5,24,0,12,0,9,11,0,22,92,29,14,33,0,15,15,0,10,0
4/3/2014,31,0,20,72,8,19,36,0,17,6,8,0,0,16,27,0,18,64,17,54,23,16,10,10,0,15,90,34,20,48,13,0,13,27,0,13,0,10,15,59,16,100,16,15,37,0,16,8,0,11,0
4/4/2014,47,0,11,0,6,10,39,0,0,0,20,0,57,9,16,0,20,23,0,0,13,29,19,0,51,17,100,0,21,0,7,0,7,45,0,21,19,11,14,0,0,0,28,11,41,0,20,13,0,18,0
4/5/2014,13,0,6,0,3,6,14,0,13,5,5,0,0,4,0,0,11,25,14,0,10,13,7,6,36,8,0,0,11,0,8,0,7,15,0,10,10,0,5,0,9,68,12,6,22,0,3,5,35,16,100
4/6/2014,19,0,9,0,7,0,0,0,25,7,6,0,32,6,13,17,0,39,20,0,7,10,7,6,0,13,0,0,0,0,18,0,6,26,0,14,11,13,8,35,10,0,13,4,39,0,8,5,0,14,100
4/7/2014,18,0,15,0,10,6,10,0,22,7,8,0,0,14,16,16,17,44,21,0,13,12,4,18,19,9,0,0,0,0,16,0,8,27,0,13,21,13,9,0,10,0,31,5,54,0,6,11,0,7,100
4/8/2014,14,60,7,0,6,6,0,0,0,16,14,0,34,15,18,18,13,13,12,0,19,4,7,7,21,7,58,0,28,32,7,32,8,15,0,15,0,14,10,0,22,0,14,7,51,64,9,11,41,14,100
4/9/2014,18,81,17,0,10,8,0,0,18,12,5,0,46,11,24,0,0,37,0,0,24,12,9,9,0,19,78,32,46,43,9,43,19,29,0,23,17,9,19,0,32,100,31,10,68,88,10,0,57,24,0
4/10/2014,10,0,9,19,6,0,9,0,0,9,8,0,0,5,7,0,19,24,9,0,0,15,5,5,0,15,0,18,0,0,7,0,7,13,51,6,19,0,10,0,0,0,23,6,13,100,6,4,31,8,0
4/11/2014,27,0,28,100,9,0,24,0,28,10,10,57,0,13,18,37,0,20,0,0,22,42,13,20,0,32,0,0,25,0,9,0,9,21,0,17,0,13,16,0,25,0,30,10,67,0,28,10,82,0,0
4/12/2014,0,0,26,0,5,11,25,0,31,14,11,56,0,10,18,0,0,20,0,0,15,13,13,13,41,13,0,44,24,60,9,0,6,37,0,18,23,12,16,0,24,0,15,11,100,0,18,10,84,13,0
4/13/2014,0,0,16,25,7,12,0,0,0,10,16,0,0,6,9,18,0,17,0,0,16,14,9,13,21,7,0,0,14,0,12,32,5,11,0,9,0,7,16,39,13,70,8,10,100,0,15,0,0,15,0
4/14/2014,17,0,43,0,14,14,0,77,28,10,13,45,0,14,12,49,17,23,52,100,18,15,21,12,28,16,0,32,20,92,22,44,12,32,0,16,0,15,17,0,17,96,20,11,59,97,16,12,58,18,0
4/15/2014,19,0,27,0,6,9,11,100,16,6,14,0,33,9,16,16,11,23,16,0,18,7,11,16,19,10,54,22,13,30,7,30,6,12,64,14,12,0,13,35,17,0,13,6,44,0,5,10,77,14,0
4/16/2014,27,0,36,37,13,9,30,81,59,14,21,0,0,17,17,26,0,28,19,52,23,13,13,22,45,10,86,35,29,72,9,47,12,36,0,25,19,20,22,0,37,0,28,16,46,100,13,18,63,30,0
4/17/2014,0,0,15,21,6,11,16,97,11,5,4,0,0,6,7,15,10,21,11,30,9,11,7,5,17,9,100,0,21,54,4,0,7,18,0,9,11,8,9,0,11,61,12,4,13,0,10,11,75,13,94
4/18/2014,0,0,7,0,5,0,22,52,12,6,9,25,0,5,15,16,0,16,0,0,7,6,6,7,17,6,51,0,10,27,4,27,3,10,0,9,0,5,8,0,20,0,8,4,20,0,4,4,0,10,100
4/19/2014,0,0,20,0,4,44,30,0,0,9,16,0,0,10,44,93,0,60,30,87,28,11,15,16,47,16,0,58,27,0,10,0,5,15,0,10,0,0,16,0,0,0,17,7,57,0,12,12,100,0,0
4/20/2014,26,0,32,0,8,21,25,0,30,13,22,0,0,15,19,0,0,53,28,83,0,26,14,28,43,15,0,0,26,71,33,66,12,52,0,14,0,0,11,0,50,0,38,9,100,0,18,0,89,33,0
4/21/2014,30,0,36,81,13,11,20,0,22,19,27,52,0,32,14,0,30,53,64,0,38,12,26,22,34,23,100,39,0,58,15,52,16,45,0,14,43,11,20,0,40,0,42,14,39,0,18,9,70,37,0
4/22/2014,11,0,9,23,12,6,21,0,23,11,15,28,0,16,15,16,11,42,11,36,17,19,10,12,36,19,77,21,23,0,11,28,10,24,0,8,12,6,9,35,18,0,19,12,23,0,10,10,37,16,100
4/23/2014,15,0,14,29,10,8,14,0,48,14,17,0,0,11,21,0,14,46,26,0,17,8,10,19,24,32,100,27,30,0,5,71,10,29,0,15,0,0,18,45,21,82,17,8,55,0,8,12,0,0,0
4/24/2014,0,0,26,35,14,28,34,0,60,8,18,0,0,10,25,25,17,36,37,0,20,17,15,14,30,24,0,98,36,0,13,43,8,31,0,12,27,10,19,0,16,100,22,11,67,0,8,7,52,21,0
4/25/2014,0,0,15,0,13,9,16,0,21,3,5,0,0,11,12,26,0,18,0,0,20,6,9,9,29,19,0,0,16,44,6,62,7,15,0,15,26,9,9,52,15,100,10,9,21,98,5,10,0,10,0
4/26/2014,0,0,16,0,9,11,21,0,0,12,11,53,0,8,16,33,41,23,0,62,13,16,11,0,38,12,100,41,20,54,8,53,9,29,0,19,32,0,9,0,0,0,18,13,40,0,9,27,0,26,0
4/27/2014,0,0,14,0,9,19,37,89,0,13,11,50,51,8,20,53,18,45,12,54,15,28,11,15,0,10,86,0,19,100,19,76,10,18,0,20,39,10,16,57,26,0,27,10,63,0,8,13,55,19,0
4/28/2014,37,94,20,0,13,12,0,0,22,17,20,0,0,16,17,50,24,21,19,0,17,17,19,16,31,0,86,33,20,50,24,74,14,17,0,15,20,21,23,57,17,0,18,16,100,0,12,8,55,25,0
4/29/2014,0,100,32,39,16,19,36,0,0,15,11,0,0,11,14,26,19,22,24,0,33,14,10,20,32,27,0,34,32,0,10,0,13,22,100,27,0,11,23,0,0,0,18,11,52,0,14,26,0,22,0
4/30/2014,0,100,33,0,12,25,24,0,24,15,26,44,0,19,0,27,0,14,17,55,22,19,14,10,33,22,95,35,32,0,16,95,6,39,0,24,67,11,21,0,30,0,36,18,54,0,13,14,62,15,0
5/1/2014,40,0,19,37,10,14,23,85,23,6,23,0,51,17,19,25,18,21,0,52,21,23,13,9,30,27,0,0,39,0,13,66,8,16,100,21,42,15,16,56,34,100,17,10,51,0,26,12,59,24,0
5/2/2014,20,0,16,0,8,9,26,86,0,9,14,36,0,9,19,0,17,24,15,0,21,11,18,9,58,20,0,0,24,47,13,45,7,19,0,15,30,9,16,56,0,100,22,7,64,0,10,10,0,26,0
5/3/2014,0,0,15,0,8,16,47,0,0,15,32,62,0,10,23,0,30,32,0,0,28,29,16,17,78,28,0,59,31,0,33,0,8,11,0,17,36,0,30,97,0,0,20,4,94,0,13,31,100,19,0
