Dates,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
5/29/2015,17,0,19,0,4,8,30,0,20,6,12,20,0,10,11,0,16,9,0,0,8,5,8,7,0,0,0,0,14,38,4,0,3,8,68,6,8,14,7,0,11,0,13,6,26,62,2,0,37,7,100
5/30/2015,27,0,14,41,8,25,25,100,15,12,13,45,0,8,25,0,0,20,0,54,13,12,8,0,0,12,0,0,20,0,14,0,5,10,0,7,26,0,6,0,16,0,10,3,25,0,9,16,57,17,0
5/31/2015,36,0,24,0,5,11,19,86,13,7,7,45,0,10,15,26,0,25,0,45,22,11,7,30,54,23,0,0,20,47,6,0,8,27,0,10,13,13,9,100,23,0,22,5,45,0,7,15,51,21,0
6/1/2015,24,63,21,25,4,8,12,58,16,13,16,20,0,9,11,18,15,26,0,0,10,15,7,10,57,18,48,0,14,33,9,0,11,19,0,19,9,8,7,34,15,0,24,8,30,55,4,5,36,16,100
6/2/2015,0,100,11,0,7,6,16,0,14,6,14,0,0,3,9,0,13,7,12,0,12,11,4,5,0,13,0,18,12,0,9,26,7,5,0,6,15,0,18,30,9,0,16,5,13,0,3,4,0,15,0
6/3/2015,0,0,13,26,5,0,39,0,11,4,9,23,33,13,17,0,16,9,14,35,15,5,7,7,39,15,0,21,15,54,10,32,4,20,0,17,9,17,11,0,11,0,13,8,31,60,5,8,37,14,100
6/4/2015,0,0,10,0,4,9,25,100,7,6,13,0,0,6,19,0,13,14,12,0,10,11,4,9,48,19,43,26,12,29,5,26,2,16,0,7,7,7,15,31,0,0,11,6,26,0,3,6,0,6,0
6/5/2015,0,0,10,0,8,19,0,0,14,8,12,52,0,14,26,0,0,18,23,60,19,8,11,17,64,13,0,35,0,0,7,0,11,25,0,16,14,15,15,0,18,0,17,5,51,100,7,8,0,18,0
6/6/2015,49,0,17,0,10,46,45,0,0,13,21,78,0,31,34,0,0,0,0,0,0,20,0,21,0,23,0,62,39,100,25,0,10,59,0,14,47,52,18,0,0,0,53,7,46,0,7,30,0,22,0
6/7/2015,26,0,20,0,5,25,32,100,14,15,9,0,0,10,17,0,0,13,21,54,12,14,8,0,61,12,0,34,22,0,17,0,6,18,0,11,41,14,9,0,0,0,20,9,25,91,4,24,56,0,0
6/8/2015,16,0,23,26,6,8,24,0,13,10,5,24,32,5,11,18,16,21,33,0,7,10,10,14,0,13,0,22,19,0,5,31,10,23,0,9,9,9,10,0,11,0,14,6,39,54,3,10,0,32,100
6/9/2015,16,0,16,0,7,8,0,0,13,11,7,0,33,12,11,18,0,13,20,33,7,9,10,7,38,31,52,0,14,0,6,31,8,18,0,9,9,0,7,35,16,0,10,7,62,57,5,10,37,15,100
6/10/2015,0,77,24,0,6,19,16,0,0,9,12,29,42,9,15,0,20,15,17,44,19,11,16,18,0,23,100,27,27,44,8,39,8,29,0,15,0,12,14,46,14,0,26,10,79,0,6,6,48,23,0
6/11/2015,0,0,25,41,7,12,41,100,27,6,15,36,0,7,18,53,24,14,21,54,18,10,8,22,58,12,83,32,22,0,7,73,7,26,0,7,0,22,13,57,17,0,16,19,50,91,3,24,0,22,0
6/12/2015,0,0,15,48,8,14,40,0,16,6,18,59,0,14,21,63,28,32,48,66,24,34,19,20,71,14,100,0,38,0,22,58,12,13,0,15,0,17,10,0,20,0,32,14,58,0,5,0,0,23,0
6/13/2015,25,0,18,80,3,24,24,100,0,9,8,30,0,9,17,26,23,13,19,0,12,14,8,11,0,12,0,0,40,0,15,0,4,14,0,7,0,0,7,0,0,0,10,4,24,0,5,15,0,11,0
6/14/2015,53,0,10,0,7,13,46,0,0,13,18,0,0,15,0,28,0,38,32,0,18,26,17,12,61,13,0,0,0,0,10,0,15,24,0,19,14,16,9,59,17,0,11,16,52,100,3,9,0,18,0
6/15/2015,43,0,9,0,7,0,18,0,12,18,5,0,0,10,30,24,0,28,37,46,21,6,0,0,100,21,73,87,40,47,6,0,12,29,0,19,12,0,11,48,29,0,13,8,42,80,3,0,0,15,0
6/16/2015,22,0,18,0,11,11,28,90,12,10,19,32,46,4,23,0,0,28,19,49,26,25,14,14,52,16,0,30,20,0,6,0,12,31,100,15,12,26,14,51,25,0,26,13,50,0,10,0,79,21,0
6/17/2015,26,0,20,0,18,12,67,0,29,8,18,55,54,10,0,29,25,22,43,0,12,18,17,22,61,30,0,0,47,61,18,0,4,35,0,11,0,15,20,0,36,0,35,16,100,0,4,8,62,25,0
6/18/2015,37,0,16,39,7,18,22,100,14,15,15,0,0,10,0,29,24,40,21,0,12,17,24,15,59,34,0,50,33,0,7,48,8,40,0,15,13,14,19,0,34,0,13,8,24,100,4,20,60,28,0
6/19/2015,0,0,5,0,4,6,12,0,7,7,7,0,25,5,17,21,12,9,10,29,6,7,4,6,0,8,41,17,0,0,5,0,7,14,60,7,6,0,5,0,17,0,6,4,18,100,2,11,28,0,0
6/20/2015,0,0,12,0,3,8,0,66,9,7,4,20,0,3,12,18,17,8,0,0,16,4,0,7,40,16,0,22,0,0,4,0,3,7,0,7,0,0,5,0,11,0,6,5,24,0,2,5,0,8,100
6/21/2015,0,0,16,0,10,12,22,100,13,7,13,34,0,13,17,0,24,30,0,0,36,10,8,11,0,23,79,0,0,53,15,95,8,24,0,14,13,14,15,0,22,0,16,11,24,92,6,0,56,26,0
6/22/2015,0,100,31,41,11,0,22,0,40,10,24,0,0,7,36,0,0,43,22,0,25,14,8,11,60,0,0,0,45,58,18,100,15,23,0,15,28,15,7,0,18,0,20,18,74,98,9,16,0,0,0
6/23/2015,0,0,12,25,9,0,13,0,14,7,12,0,0,7,0,0,16,20,20,0,30,13,9,14,0,13,100,0,34,34,6,30,5,23,0,6,10,18,9,0,11,71,7,11,45,0,7,5,38,15,96
6/24/2015,0,0,6,26,6,7,17,0,9,5,11,0,0,10,14,16,18,33,14,36,15,8,0,21,42,13,0,20,34,53,4,0,5,18,0,7,15,9,6,0,15,0,19,5,22,75,13,16,39,11,100
6/25/2015,0,0,0,0,16,30,27,0,15,27,48,0,0,21,33,36,41,31,0,0,17,21,27,0,59,33,0,44,0,78,19,0,18,32,0,15,0,0,13,0,27,0,27,14,100,0,20,0,0,42,0
6/26/2015,39,0,16,0,13,19,34,0,36,22,16,0,0,9,28,0,53,0,40,0,30,21,22,21,73,21,0,56,36,0,23,84,17,29,0,24,0,24,17,0,48,0,45,16,56,0,24,23,100,22,0
6/27/2015,42,0,22,0,14,41,36,0,20,10,25,0,0,0,31,48,0,41,0,92,21,22,12,0,79,23,0,0,37,0,16,0,8,24,0,13,0,25,15,100,33,0,32,14,90,0,19,17,100,24,0
6/28/2015,40,0,16,73,17,0,33,0,19,23,33,0,0,10,29,88,0,80,39,0,0,13,17,20,75,21,0,55,36,0,11,83,9,39,0,24,0,24,25,93,16,0,91,9,42,0,31,0,100,52,0
6/29/2015,0,0,24,100,15,13,47,0,42,15,14,79,0,18,39,0,35,27,27,0,22,28,8,40,52,49,0,40,0,66,20,0,12,29,0,21,33,17,16,68,24,0,78,13,57,0,33,0,0,14,0
6/30/2015,21,0,30,38,10,17,27,0,11,10,12,45,0,11,0,0,54,21,0,0,22,29,15,21,40,15,74,50,20,100,19,90,5,26,0,13,25,13,19,0,36,0,18,7,37,0,11,17,57,11,0
7/1/2015,37,0,56,0,16,45,48,0,19,13,28,0,0,13,53,0,48,36,38,0,58,0,32,47,0,19,0,53,36,0,22,0,24,37,0,12,0,0,29,0,16,0,21,7,39,0,12,30,100,20,0
7/2/2015,25,100,10,0,6,12,22,0,26,8,5,0,51,11,0,0,32,47,26,0,13,18,7,13,47,39,89,0,0,63,8,0,6,28,0,16,45,0,10,0,20,0,27,7,26,0,16,10,63,32,0
7/3/2015,0,0,11,49,3,14,25,0,44,6,15,0,55,6,21,0,0,26,0,0,0,15,12,32,100,15,0,0,0,68,16,58,6,19,0,12,34,16,7,69,10,0,15,6,29,0,8,11,0,16,0
7/4/2015,34,0,21,0,4,17,16,69,18,5,3,0,0,3,26,0,25,16,0,0,18,6,5,10,31,9,62,0,0,0,15,37,5,12,0,6,0,10,9,0,10,100,10,2,19,0,5,14,0,10,0
7/5/2015,0,64,16,0,4,15,14,64,12,4,8,32,0,4,11,0,21,20,16,36,8,17,7,0,58,8,54,22,29,0,9,0,4,10,0,7,19,10,7,0,11,80,18,6,16,0,19,13,0,21,100
7/6/2015,31,88,23,38,6,30,27,0,11,18,20,88,42,5,14,0,26,68,21,99,22,24,8,15,79,22,0,0,20,0,12,90,9,16,100,13,25,13,19,53,9,0,36,15,43,0,34,21,56,21,0
7/7/2015,0,0,22,35,11,10,25,83,14,17,24,41,41,9,0,0,42,29,21,92,37,10,13,20,38,31,68,29,19,0,6,43,13,31,95,6,24,0,15,0,14,100,45,12,21,0,17,12,52,32,0
7/8/2015,22,0,7,13,3,4,13,32,12,7,8,0,0,5,0,0,10,7,0,17,12,4,6,4,22,5,27,11,14,19,2,0,2,9,0,6,9,7,3,0,9,39,13,4,16,39,4,3,20,11,100
7/9/2015,30,0,13,0,4,7,13,0,24,10,10,0,0,5,0,0,0,22,0,35,8,13,4,0,29,16,0,21,29,38,0,0,4,18,76,16,0,0,12,0,6,0,9,4,40,80,10,18,0,16,100
7/10/2015,0,0,20,0,10,14,26,0,25,10,6,0,0,6,42,33,0,28,0,0,21,21,17,23,54,0,100,0,26,0,9,0,9,28,0,18,0,0,13,75,23,0,33,8,51,0,9,11,76,24,0
7/11/2015,0,0,18,54,6,0,0,0,16,8,6,0,0,5,0,0,0,29,0,0,0,33,9,16,56,0,100,0,51,0,9,62,6,34,0,38,0,19,16,79,11,0,17,18,48,0,9,12,75,16,0
7/12/2015,24,0,23,43,6,17,0,0,0,11,14,97,48,16,25,0,0,68,97,52,19,13,10,24,45,19,0,0,22,58,22,100,10,32,0,12,0,15,25,0,29,0,20,14,88,0,8,16,0,17,0
7/13/2015,31,85,14,0,10,20,18,0,22,15,30,89,44,17,15,0,53,34,21,48,22,17,12,21,100,17,0,60,20,0,10,0,7,45,0,23,0,14,19,0,24,0,12,14,51,0,9,8,0,22,0
7/14/2015,42,0,36,0,17,14,0,0,45,21,27,0,60,16,42,0,35,100,0,64,45,29,16,38,90,30,0,40,40,0,25,91,12,44,0,26,34,18,40,0,16,0,32,16,29,0,12,17,79,45,0
7/15/2015,15,0,17,28,9,15,0,68,0,9,21,33,0,9,0,0,0,32,0,37,17,19,9,31,29,12,0,21,14,40,9,100,5,20,0,17,18,10,10,0,10,78,18,9,41,0,10,31,43,24,0
7/16/2015,23,0,20,0,8,8,0,0,8,8,10,32,0,9,11,18,20,39,32,37,17,24,11,0,29,12,0,22,21,0,10,33,2,16,0,12,18,10,10,0,13,0,22,10,16,0,8,6,0,20,100
7/17/2015,15,0,12,0,4,8,40,0,16,9,8,0,0,4,11,0,0,31,0,0,25,13,4,16,0,8,0,0,13,0,9,0,7,13,77,12,0,10,6,0,22,0,17,6,32,0,0,0,40,32,100
7/18/2015,24,0,16,0,4,12,22,0,18,11,15,69,100,5,18,0,0,23,25,0,13,13,10,20,0,20,83,33,19,56,25,51,6,11,0,8,0,0,6,0,19,0,14,5,25,0,12,10,0,26,0
7/19/2015,19,0,14,0,5,10,17,0,42,10,19,0,40,7,14,32,24,37,40,0,10,11,11,15,74,16,66,27,17,46,14,42,4,16,0,10,46,12,12,47,8,100,22,8,30,92,6,16,50,14,0
7/20/2015,20,0,15,74,7,20,17,0,11,17,18,88,0,12,29,23,26,61,0,0,22,17,24,13,65,15,70,29,0,0,14,86,7,17,96,17,24,13,16,50,18,100,15,8,53,97,18,8,54,36,0
7/21/2015,14,0,16,0,8,7,19,0,27,6,13,31,0,11,16,0,37,30,30,0,8,15,8,11,28,16,100,0,41,37,4,0,4,38,0,12,17,0,12,74,6,0,21,10,16,0,15,6,0,8,98
7/22/2015,15,63,15,0,8,13,13,0,12,9,15,43,33,11,28,18,20,39,31,35,11,7,10,10,30,17,53,0,19,40,13,33,6,21,0,10,36,10,16,0,13,0,26,9,33,0,15,12,42,19,100
7/23/2015,19,0,25,35,11,19,17,0,10,12,15,39,0,14,14,34,0,49,20,0,21,9,13,19,36,15,65,0,18,0,6,40,8,26,0,8,34,19,10,74,14,0,11,11,43,100,13,15,0,26,0
7/24/2015,0,0,19,0,9,19,0,0,10,8,10,38,41,7,0,34,0,50,39,0,15,7,8,20,0,0,69,27,25,0,8,0,5,21,100,13,31,13,11,49,10,0,17,11,45,0,11,19,53,11,0
7/25/2015,0,0,36,0,8,23,41,0,37,6,24,85,0,11,33,100,0,67,0,0,25,16,13,25,86,0,0,0,0,0,14,0,9,19,0,37,0,29,30,0,0,0,66,6,50,0,15,0,0,25,0
7/26/2015,20,0,19,36,12,20,17,84,27,7,13,42,0,6,21,44,25,39,20,0,11,7,6,16,57,16,0,0,35,0,10,0,8,11,0,19,47,26,21,0,0,100,45,6,42,0,10,16,0,32,0
7/27/2015,20,0,9,0,3,10,26,43,8,5,9,0,0,3,7,11,0,25,15,0,14,5,6,10,19,16,0,14,0,25,12,22,6,15,0,6,0,7,4,25,9,100,11,4,16,0,3,8,0,26,0
7/28/2015,57,80,11,36,10,14,25,84,13,19,17,0,0,20,14,22,49,19,20,0,17,17,15,10,75,26,68,27,18,48,12,41,6,30,0,18,23,0,15,0,8,0,27,13,52,100,8,7,0,27,0
7/29/2015,20,0,12,0,5,7,9,0,5,5,7,0,22,12,12,12,13,13,15,0,16,10,8,10,26,5,0,14,9,0,3,21,3,15,0,6,0,7,9,0,4,0,15,8,65,100,5,11,0,13,0
7/30/2015,0,0,13,0,12,10,18,89,16,21,11,0,44,14,30,0,0,21,52,0,17,10,6,16,39,16,0,29,19,50,6,44,9,15,0,13,25,0,14,51,8,0,29,11,33,100,17,11,57,16,0
7/31/2015,23,0,31,0,9,11,20,100,11,8,9,43,96,7,17,0,0,45,35,50,19,28,6,12,43,16,81,32,0,0,14,0,8,15,0,15,27,29,18,0,13,0,38,6,48,0,26,24,62,17,0
8/1/2015,0,0,12,30,7,8,0,0,17,6,7,0,0,4,12,0,21,31,16,0,9,0,9,9,30,9,0,22,26,39,8,0,3,13,0,5,0,0,13,0,6,0,0,4,33,0,10,11,40,17,100
8/2/2015,0,0,25,75,24,40,36,0,32,14,35,0,0,27,29,0,0,80,62,0,22,28,0,54,76,87,0,0,0,0,25,0,10,46,0,13,0,51,33,100,0,0,23,21,42,0,20,29,0,63,0
8/3/2015,0,100,37,45,9,24,21,0,44,11,20,51,0,13,17,42,31,40,24,53,17,27,34,25,0,26,83,0,38,58,7,52,11,30,0,11,29,24,11,0,20,0,13,11,33,0,8,17,0,56,0
8/4/2015,0,0,48,0,10,14,24,0,15,23,19,0,0,19,20,0,0,55,28,0,15,24,20,43,0,30,97,0,39,68,34,0,14,40,0,18,100,36,15,0,24,0,78,12,58,0,14,10,0,29,0
8/5/2015,19,0,30,0,11,19,17,0,20,8,18,38,0,12,26,22,24,37,38,43,14,13,16,14,36,21,65,0,35,0,14,41,8,24,0,15,67,0,7,50,32,0,36,9,33,0,13,11,100,20,0
8/6/2015,56,0,24,53,19,14,26,0,30,8,19,57,62,9,19,0,37,37,29,87,39,20,0,24,55,46,100,40,27,0,26,60,12,30,0,12,34,0,15,0,12,0,16,12,50,0,19,16,0,30,0
8/7/2015,15,0,12,29,8,8,24,0,8,5,5,28,32,5,0,0,20,15,15,34,17,13,4,16,29,8,52,28,20,0,7,32,5,6,0,10,18,0,10,40,6,0,17,8,16,0,5,5,39,16,100
8/8/2015,40,0,21,0,14,20,0,0,21,13,11,0,0,17,0,0,0,76,77,0,23,14,18,21,0,21,0,0,33,0,24,0,14,22,0,13,47,25,18,0,25,0,30,13,83,0,13,0,100,49,0
8/9/2015,0,0,59,68,14,54,100,0,19,21,28,72,0,14,24,0,0,68,35,0,20,25,10,25,100,26,0,0,32,89,33,77,7,31,0,28,42,23,22,0,29,0,33,15,88,0,30,26,92,50,0
8/10/2015,0,0,17,0,7,8,15,100,13,10,11,0,24,10,16,0,15,17,23,38,12,14,7,12,33,8,41,16,22,0,12,25,4,18,0,5,14,8,9,0,7,0,17,6,32,0,5,7,46,17,0
8/11/2015,0,0,23,39,12,10,31,0,11,13,20,0,45,22,19,25,82,86,53,45,34,21,6,11,40,16,75,30,20,0,22,45,10,24,0,7,25,28,17,0,18,0,28,9,67,100,21,8,56,34,0
8/12/2015,20,0,17,37,10,13,27,0,14,10,25,41,0,14,13,23,25,41,20,0,17,14,12,10,75,50,71,28,19,0,6,0,9,29,97,19,31,13,9,52,11,0,19,12,56,100,20,22,54,18,0
8/13/2015,19,0,19,0,11,14,26,85,24,9,22,38,41,15,19,0,0,0,38,0,16,11,11,10,35,18,0,27,0,0,6,41,9,27,0,8,22,0,16,100,24,0,14,9,51,0,10,10,0,10,0
8/14/2015,65,0,18,0,14,27,31,0,36,13,23,64,70,13,34,39,0,100,33,75,38,24,10,18,0,18,0,45,29,0,10,0,8,19,0,22,40,32,15,89,13,0,37,8,72,0,28,17,0,36,0
8/15/2015,19,0,12,38,4,9,0,0,0,11,10,39,40,10,14,23,0,32,39,43,0,7,11,17,37,11,0,0,0,0,12,0,5,7,0,9,24,13,7,51,8,0,22,7,43,100,7,11,50,0,0
8/16/2015,22,0,19,44,8,11,42,100,13,20,18,72,97,14,15,52,29,33,45,0,13,17,11,16,42,12,0,0,31,57,11,48,9,24,0,26,40,0,12,59,9,0,13,10,49,0,18,11,0,19,0
8/17/2015,7,0,9,14,3,5,14,0,7,5,7,0,0,6,5,9,16,22,15,17,8,5,4,9,14,10,0,20,11,0,5,0,5,13,0,6,9,8,5,20,11,37,9,4,32,0,5,4,0,7,100
8/18/2015,13,0,10,0,12,14,25,62,8,6,16,0,0,11,9,24,43,14,28,100,27,15,12,14,34,11,0,19,13,0,9,0,9,18,0,9,16,9,19,75,12,0,8,9,35,0,18,8,55,18,0
8/19/2015,18,0,18,0,6,9,18,42,9,7,8,20,21,6,9,12,12,9,19,22,11,6,5,10,17,0,0,14,12,0,6,40,5,16,0,8,11,19,11,26,21,48,13,5,45,100,13,4,25,12,0
8/20/2015,38,0,23,35,11,17,24,0,23,12,16,0,45,12,13,25,25,30,41,0,34,15,14,17,0,22,0,28,57,51,13,43,8,27,100,19,24,14,19,0,14,0,23,15,44,0,14,22,0,12,0
8/21/2015,58,0,33,0,21,30,37,0,0,18,17,0,0,51,28,48,0,40,60,0,34,20,20,0,73,21,0,0,35,99,25,84,14,27,0,39,46,0,11,0,16,0,39,14,100,0,23,22,0,23,0
8/22/2015,26,0,21,0,11,13,51,0,0,9,0,52,0,6,0,30,0,0,53,0,15,10,21,0,0,0,0,0,0,66,17,0,6,28,0,15,31,17,15,100,0,0,15,8,29,0,9,9,0,30,0
8/23/2015,10,0,14,0,4,17,20,100,6,7,7,0,0,6,7,0,41,27,22,0,14,9,6,12,0,6,0,15,20,28,7,23,2,13,0,7,0,15,9,28,14,0,11,6,20,0,4,4,28,8,0
8/24/2015,32,0,30,0,13,17,15,78,0,16,10,36,0,3,22,0,21,34,17,40,29,15,10,9,30,13,61,24,17,0,11,36,7,7,0,16,0,12,17,0,15,0,20,10,100,0,30,13,0,10,0
8/25/2015,20,89,28,0,8,40,19,93,12,11,12,0,46,9,13,24,51,42,21,98,24,12,6,23,77,11,0,29,0,0,14,90,15,12,0,13,49,14,17,0,10,0,43,10,100,0,21,16,55,48,0
8/26/2015,20,0,14,0,13,31,39,0,12,15,17,0,0,11,14,0,39,21,44,100,18,12,17,12,0,22,77,0,21,0,14,46,13,24,0,20,0,13,21,0,0,0,62,15,56,0,22,8,56,43,0
8/27/2015,10,0,11,18,4,5,13,48,6,6,8,0,23,7,13,12,0,16,16,0,12,8,10,9,29,8,37,14,10,0,6,23,5,13,100,7,0,10,6,0,6,0,14,5,22,0,11,8,0,8,0
8/28/2015,21,0,18,37,8,10,27,0,11,6,16,0,0,11,14,23,26,32,33,0,18,8,13,24,40,16,0,58,0,0,7,68,7,37,100,7,0,19,15,59,11,0,25,10,79,0,22,22,0,12,0
8/29/2015,19,0,12,0,5,19,0,0,0,6,6,0,0,7,14,21,0,19,20,0,15,19,17,12,38,10,63,0,16,52,11,62,3,14,0,10,0,11,26,52,10,100,23,7,0,0,10,7,0,11,0
8/30/2015,0,0,20,0,13,25,32,0,58,12,26,0,74,18,0,38,0,69,70,0,33,46,18,40,66,0,0,48,31,0,19,75,11,36,0,29,41,32,13,93,18,0,41,17,94,0,31,25,0,100,0
8/31/2015,0,0,48,0,11,0,0,96,12,8,25,47,0,15,0,0,26,53,0,0,18,8,7,24,39,11,77,30,21,0,10,0,14,28,100,13,25,0,18,0,36,0,0,8,90,0,33,8,56,12,0
9/1/2015,20,0,28,0,10,10,31,0,18,11,15,47,47,16,14,23,26,32,33,0,24,29,33,18,78,11,77,0,21,56,9,46,13,18,0,13,25,20,16,0,36,100,17,8,89,0,19,8,83,24,0
9/2/2015,27,0,25,0,15,13,73,0,0,16,29,0,63,22,0,0,71,29,0,0,16,31,9,54,53,29,100,81,28,75,42,0,18,37,0,9,0,18,24,0,23,0,17,17,74,0,15,11,0,23,0
9/3/2015,55,0,12,0,14,36,25,0,25,13,24,0,0,24,18,31,36,72,29,0,16,21,14,16,0,20,100,0,47,76,19,0,15,24,0,26,0,0,13,0,31,0,28,14,59,0,15,11,0,39,0
9/4/2015,11,0,9,20,6,7,10,100,12,3,8,0,0,4,7,12,15,11,12,0,0,8,3,6,0,12,0,0,21,0,7,0,3,7,54,6,0,7,3,0,12,0,13,3,12,0,6,0,0,25,75
9/5/2015,0,0,0,0,3,11,0,0,8,7,3,0,0,3,0,0,0,16,0,0,0,12,9,18,0,17,0,0,13,0,0,0,3,18,73,5,0,0,9,0,8,0,9,5,0,0,10,0,0,13,100
9/6/2015,24,0,10,0,5,15,21,100,19,12,10,48,49,5,16,0,31,23,0,0,13,17,7,13,44,19,0,0,0,0,7,0,5,26,0,7,28,0,13,59,12,0,27,8,52,0,10,24,57,25,0
9/7/2015,0,86,13,0,12,15,18,0,11,15,14,45,0,13,0,0,39,20,21,44,11,37,6,23,0,11,70,0,0,51,10,0,13,17,97,16,0,0,11,0,32,100,48,11,0,0,10,7,0,21,0
9/8/2015,26,77,22,0,13,17,51,0,16,13,16,0,40,11,17,20,22,36,37,42,0,11,16,10,100,16,0,0,18,46,17,59,11,21,0,7,0,12,12,47,17,84,25,11,38,0,10,7,71,33,0
9/9/2015,14,0,7,0,12,7,62,0,8,12,10,0,0,10,9,16,18,46,23,0,8,18,16,12,27,16,0,21,15,38,14,33,11,21,0,18,17,10,10,0,8,0,9,8,47,0,10,11,79,16,100
9/10/2015,18,0,34,0,9,9,33,87,16,12,9,0,44,13,18,22,49,33,20,0,11,14,20,10,0,17,71,0,19,0,12,0,8,20,0,16,0,13,13,48,16,93,19,12,30,0,21,11,100,31,0
9/11/2015,26,0,15,0,7,13,24,0,29,14,15,83,0,9,37,31,37,28,0,61,15,10,16,31,0,22,100,40,24,0,26,59,6,16,0,13,33,17,11,69,29,0,16,5,43,0,31,30,0,22,0
9/12/2015,0,0,11,0,8,10,19,0,0,5,8,0,0,6,15,48,30,43,0,45,12,15,12,16,0,24,0,0,0,0,13,45,3,20,0,9,0,13,8,0,11,0,0,2,23,0,21,8,100,18,0
9/13/2015,0,0,18,0,7,30,28,94,0,11,23,0,0,12,29,0,0,44,22,0,12,8,6,23,41,18,0,0,40,0,7,0,2,16,100,17,25,0,9,0,0,0,13,12,45,0,22,8,54,12,0
9/14/2015,42,0,36,38,13,0,29,100,19,14,29,0,47,12,21,24,56,31,23,67,25,16,11,41,42,24,77,32,23,57,17,97,9,30,0,16,0,14,33,0,13,0,31,14,46,0,10,11,59,35,0
9/15/2015,20,0,39,55,11,17,31,99,24,19,16,47,0,13,14,48,0,38,22,0,18,31,23,17,0,23,75,42,22,56,14,47,9,32,100,16,25,21,24,54,18,0,38,10,67,0,15,16,59,23,0
9/16/2015,45,0,23,53,12,10,13,71,25,14,15,0,0,6,20,0,19,48,32,0,13,11,6,12,30,16,55,23,15,0,12,34,10,15,0,8,18,10,10,0,17,0,27,8,38,0,8,6,0,11,100
9/17/2015,15,63,20,0,5,0,65,0,0,14,22,0,0,8,24,0,19,32,0,0,9,5,4,8,0,8,0,22,30,0,5,34,6,22,0,14,18,10,17,38,26,0,13,8,47,76,5,0,0,27,100
9/18/2015,19,0,21,0,8,9,18,0,10,7,11,0,42,18,20,21,0,31,21,0,11,17,6,0,0,11,69,29,54,0,17,0,4,14,0,12,0,12,13,0,21,0,12,8,42,100,7,0,52,16,0
9/19/2015,0,0,12,0,7,28,27,0,15,17,16,0,61,8,0,0,0,30,0,0,16,37,8,17,0,16,100,0,37,0,14,0,5,30,0,19,34,18,13,0,23,0,17,10,32,0,20,10,74,16,0
9/20/2015,0,0,10,0,6,7,9,47,9,5,9,0,0,5,0,0,0,43,11,46,10,4,8,8,0,17,0,0,0,0,3,23,4,16,100,6,12,9,6,0,0,0,14,4,56,0,8,6,27,11,0
9/21/2015,20,0,11,18,6,12,12,47,6,5,8,0,0,11,7,0,0,29,18,48,6,15,13,11,0,11,0,0,10,0,10,31,5,15,100,7,25,7,11,27,9,0,10,7,26,0,13,4,0,8,0
9/22/2015,27,0,23,37,11,20,28,0,12,15,28,48,0,10,28,0,42,57,45,50,24,21,15,11,42,17,78,0,43,57,14,93,11,19,0,16,25,14,18,56,12,100,25,11,69,0,22,21,0,52,0
9/23/2015,14,0,16,0,9,10,13,0,9,14,11,34,0,8,19,16,26,36,31,0,17,16,15,0,29,13,54,21,20,39,10,33,7,16,0,9,0,15,10,0,21,0,18,8,89,0,12,11,40,21,100
9/24/2015,0,0,17,17,3,18,0,0,5,5,4,0,42,4,6,10,12,30,0,22,11,7,11,0,0,10,35,0,9,100,8,21,3,15,46,6,0,6,9,0,5,44,11,2,56,0,3,4,26,8,0
9/25/2015,0,0,9,76,6,29,25,96,0,6,9,0,0,6,0,23,0,42,22,0,16,15,12,0,0,11,73,29,38,0,16,0,15,26,100,17,24,13,13,0,11,0,16,5,33,0,14,11,52,19,0
9/26/2015,0,0,27,0,8,0,34,100,11,8,5,0,0,4,16,0,0,54,22,0,12,8,6,13,0,12,0,30,38,0,11,0,6,16,0,7,26,13,6,0,0,0,12,6,23,0,17,16,0,18,0
9/27/2015,0,0,44,73,12,28,0,0,33,10,19,0,0,22,27,45,0,40,0,0,22,66,53,22,0,33,0,0,38,0,21,0,11,38,0,34,0,55,15,100,29,0,23,14,57,0,32,30,0,72,0
9/28/2015,0,0,19,0,10,29,18,0,27,12,13,95,0,8,23,23,27,63,21,48,20,13,9,17,0,15,0,0,21,81,17,47,12,26,100,22,0,15,19,51,30,98,49,9,90,0,15,12,54,33,0
9/29/2015,26,0,25,96,13,13,58,0,39,18,16,63,0,12,18,31,36,47,28,83,15,19,17,22,54,30,100,41,28,0,20,0,14,26,0,28,33,27,17,67,47,0,37,12,44,0,24,20,0,66,0
9/30/2015,24,0,11,22,5,0,11,0,7,10,8,0,0,10,0,22,33,27,0,0,21,11,4,0,100,10,0,19,13,0,8,0,7,16,0,16,15,8,5,0,11,0,15,7,21,0,11,16,0,21,0
