Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/27/2014,0,82,25,56,16,17,15,79,0,19,30,28,43,14,43,0,16,23,51,46,15,13,9,13,42,27,74,0,0,41,15,39,11,20,0,8,41,0,13,100,62,0,29,23,21,0,9,14,45,25,0
1/28/2014,0,0,11,22,12,9,10,100,12,10,16,26,0,7,17,29,9,16,18,30,10,10,7,20,0,12,49,21,24,39,10,26,6,24,0,6,13,5,16,49,33,59,11,17,18,0,7,0,0,13,0
1/29/2014,19,0,14,24,9,11,8,86,0,8,13,34,24,8,25,11,13,14,17,26,0,6,14,10,19,6,0,17,22,33,10,22,7,19,0,10,11,4,10,27,25,100,11,11,15,46,12,9,0,18,0
1/30/2014,15,0,14,28,13,9,13,100,16,9,27,30,73,9,23,0,18,15,28,0,11,7,12,15,22,18,0,26,23,51,17,34,8,13,75,9,21,9,9,0,31,0,31,14,35,0,11,15,40,19,0
1/31/2014,0,0,14,36,7,9,16,86,0,7,20,54,0,9,25,0,16,37,36,0,11,9,10,14,27,27,0,0,20,85,14,44,9,14,97,10,37,7,16,53,34,0,21,10,45,0,13,7,100,62,0
2/1/2014,0,95,9,0,9,9,0,0,0,13,17,27,0,6,26,22,11,28,0,0,11,15,14,20,27,19,0,0,28,41,10,95,8,27,100,16,30,7,11,0,36,0,22,9,25,0,10,0,50,13,0
2/2/2014,27,92,25,67,11,23,0,78,0,14,17,28,0,6,24,41,11,17,0,0,10,15,21,23,0,9,0,32,0,0,23,0,11,41,0,6,36,7,20,0,100,0,20,11,0,0,16,8,0,18,0
2/3/2014,18,88,17,65,13,13,30,0,37,11,29,0,46,8,36,20,16,17,17,0,19,15,6,31,0,35,0,0,0,0,9,0,6,23,0,17,30,34,17,100,66,0,25,13,0,0,22,14,0,12,0
2/4/2014,37,97,23,100,12,0,0,0,29,27,25,32,0,8,30,0,12,17,26,0,39,9,15,0,0,9,0,0,23,40,15,42,8,23,0,8,40,15,16,0,33,94,26,19,0,0,22,14,0,12,0
2/5/2014,13,0,16,35,5,13,0,57,14,9,25,0,0,12,25,15,10,18,12,0,11,17,7,13,18,17,0,23,45,29,15,100,8,15,0,10,23,8,15,36,12,0,17,12,21,62,19,15,36,16,0
2/6/2014,16,0,19,30,6,11,14,73,55,5,22,0,64,11,28,0,0,30,20,0,18,13,13,12,44,11,100,30,27,0,11,82,12,15,0,5,21,9,10,47,29,85,17,15,25,0,17,18,0,13,0
2/7/2014,35,0,23,53,8,20,19,0,27,13,19,0,79,15,29,25,0,20,82,0,16,7,9,18,0,42,0,0,24,0,12,100,8,21,0,10,19,7,9,0,41,0,36,11,25,0,28,7,0,13,0
2/8/2014,19,0,16,50,5,21,15,76,25,9,18,0,0,14,20,20,12,16,33,0,14,13,5,22,25,11,0,0,19,0,7,0,4,21,0,7,23,6,11,49,66,0,16,12,43,82,12,6,100,16,0
2/9/2014,22,0,13,58,16,23,23,90,27,16,33,45,0,10,28,24,16,39,41,56,11,9,20,16,30,21,0,0,24,0,11,0,11,38,0,22,25,10,16,0,45,0,29,13,34,100,10,18,60,25,0
2/10/2014,16,0,7,57,12,7,13,100,18,13,30,0,0,15,27,0,20,22,24,0,8,13,15,11,0,15,0,28,37,0,10,35,8,27,78,18,28,8,10,44,35,79,13,8,31,73,14,13,0,32,0
2/11/2014,38,89,9,54,13,18,0,84,0,17,35,40,48,22,26,44,43,18,36,0,21,6,18,19,0,39,0,36,45,0,16,0,7,36,0,25,17,7,5,0,87,100,26,20,23,0,41,14,58,23,0
2/12/2014,37,0,12,36,18,9,16,80,0,17,30,39,46,20,34,0,27,18,18,50,23,14,10,19,27,14,0,35,44,0,12,43,11,24,0,26,43,11,14,0,36,100,10,23,23,89,15,7,0,11,0
2/13/2014,19,0,9,35,10,0,22,75,0,9,19,0,0,11,19,0,12,17,18,49,19,14,17,9,39,18,0,0,21,0,14,43,6,20,0,9,17,7,11,49,45,100,10,14,22,84,22,14,53,11,0
2/14/2014,16,0,21,44,7,7,12,0,21,4,6,0,37,6,20,34,12,14,15,40,11,10,11,8,21,7,100,28,16,0,9,0,5,15,0,6,14,5,7,42,33,84,13,12,37,0,4,9,43,9,0
2/15/2014,39,0,11,35,8,8,15,74,28,6,12,0,0,7,24,40,21,16,29,0,9,8,11,9,50,0,0,0,19,0,14,44,5,22,90,6,24,12,11,0,22,100,10,11,23,0,12,7,48,11,0
2/16/2014,41,0,23,0,5,26,17,85,32,9,34,40,51,9,34,21,14,17,45,0,15,20,12,10,28,29,85,0,44,41,12,48,6,30,100,12,27,17,16,0,30,0,23,17,0,89,10,16,0,22,0
2/17/2014,0,100,43,56,8,30,17,88,58,19,48,46,54,14,45,43,29,35,61,0,33,9,15,11,30,36,89,0,45,44,7,50,10,19,0,16,19,21,15,59,50,0,25,24,26,0,34,17,58,23,0
2/18/2014,11,57,14,43,6,9,10,0,15,11,20,26,45,5,16,17,16,10,30,0,10,19,13,6,26,8,100,22,13,0,5,28,6,15,0,11,22,5,7,67,30,64,10,16,24,0,13,8,68,7,0
2/19/2014,9,0,14,51,9,5,17,0,0,7,9,0,24,8,10,10,9,0,10,0,11,11,8,7,13,5,0,0,20,0,6,0,7,11,49,4,9,4,7,0,13,100,18,13,12,0,15,15,0,8,0
2/20/2014,12,0,12,23,12,10,16,82,15,7,8,27,32,9,23,12,19,11,13,37,12,10,11,6,17,21,0,0,13,29,11,44,8,16,62,10,16,9,11,0,42,65,13,13,15,61,8,7,0,7,100
2/21/2014,19,0,9,36,10,21,16,83,25,8,14,39,46,13,17,0,18,16,19,52,18,12,12,9,0,14,0,0,28,41,10,44,11,10,0,9,16,7,11,0,46,100,12,7,22,0,17,15,0,11,0
2/22/2014,19,86,8,71,10,17,16,83,0,5,21,0,0,7,25,0,0,16,18,0,21,9,11,0,0,9,0,0,27,0,6,0,3,36,0,8,15,0,14,0,26,100,12,10,0,0,20,7,0,0,0
2/23/2014,28,0,14,70,14,19,16,84,27,16,39,44,0,9,30,19,18,41,32,0,16,16,14,10,27,0,0,70,20,88,6,45,8,23,95,11,33,14,14,53,44,100,12,13,48,94,9,8,54,22,0
2/24/2014,18,0,9,100,12,23,16,0,92,16,35,0,48,11,43,0,0,49,46,0,10,12,15,15,27,9,0,0,21,45,18,44,10,27,0,17,32,22,18,0,78,0,18,21,0,0,18,12,53,11,0
2/25/2014,18,0,28,45,15,18,16,0,46,24,26,44,0,13,33,39,19,49,43,100,21,15,14,30,27,28,0,34,27,0,27,44,15,32,0,19,41,7,25,54,46,0,12,22,0,0,29,10,0,27,0
2/26/2014,26,0,17,24,11,10,0,58,0,18,16,0,100,4,26,14,14,12,19,35,18,9,4,7,38,10,0,0,14,0,11,31,8,17,0,10,24,10,15,0,43,0,20,15,0,0,8,16,0,7,0
2/27/2014,31,94,30,48,12,12,66,85,23,20,34,47,48,12,22,21,22,18,38,0,21,9,15,37,57,10,83,0,0,47,11,46,12,19,0,18,36,20,13,56,37,0,42,18,48,100,17,16,59,20,0
2/28/2014,32,0,22,0,9,13,25,0,0,10,24,46,0,13,26,20,44,17,19,52,14,6,10,13,28,10,0,35,18,0,12,0,7,20,0,12,34,15,15,0,18,100,19,9,0,0,16,15,57,19,0
3/1/2014,15,0,6,0,5,6,16,0,0,8,14,29,0,7,22,0,14,11,0,34,7,6,8,6,19,6,51,0,46,0,7,31,5,12,0,6,0,8,5,34,12,68,10,4,16,0,6,8,0,13,100
3/2/2014,14,0,9,21,6,9,10,50,25,8,10,0,0,9,32,13,13,10,13,0,6,6,8,12,39,6,53,33,0,0,11,0,2,6,0,0,10,9,10,0,18,0,22,6,16,0,8,12,34,6,100
3/3/2014,17,39,8,14,7,9,7,100,10,5,12,0,0,4,16,22,14,11,8,22,9,6,4,8,19,13,36,15,8,38,10,0,5,12,0,5,22,11,6,0,15,0,9,6,0,43,9,5,0,9,0
3/4/2014,13,56,9,22,8,7,21,52,14,13,18,0,30,9,16,28,14,11,16,64,9,10,11,18,28,9,0,43,13,28,4,29,8,22,0,4,29,25,18,34,49,62,13,10,15,0,15,13,33,21,100
3/5/2014,23,100,9,19,10,10,14,46,16,7,20,27,26,8,22,12,24,16,9,29,6,8,10,16,16,8,0,19,11,0,7,26,7,16,55,8,20,12,9,31,35,0,15,12,22,54,10,6,30,15,0
3/6/2014,31,0,28,35,12,22,0,0,0,12,16,45,48,6,40,0,0,75,17,0,0,6,10,14,29,0,0,0,20,0,6,0,17,27,0,18,18,0,12,0,35,100,22,20,23,0,15,15,55,11,0
3/7/2014,15,0,11,36,6,9,0,43,0,5,8,0,24,2,11,0,11,0,11,27,5,5,3,7,0,5,0,0,14,23,3,23,3,13,100,3,9,13,7,28,19,0,9,9,0,0,5,5,0,17,81
